,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default,Meta: _yoast_wpseo_content_score
,685,variation,PA1W5D2MA56/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1640,,,,,,,id:246,,,,,,23,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D2MA56/15,703,variation,PA1W5D2MA56/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1840,,,,,,,id:246,,,,,,41,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D2MA56/18,721,variation,PA1W5D2MA56/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2115,,,,,,,id:246,,,,,,59,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D2MA56/22,739,variation,PA1W5D2MA56/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2415,,,,,,,id:246,,,,,,5,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W5D3MA57/12,687,variation,PA1W5D3MA57/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2015,,,,,,,id:246,,,,,,25,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D3MA57/15,705,variation,PA1W5D3MA57/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2165,,,,,,,id:246,,,,,,43,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D3MA57/18,723,variation,PA1W5D3MA57/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2565,,,,,,,id:246,,,,,,61,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D3MA57/22,741,variation,PA1W5D3MA57/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2865,,,,,,,id:246,,,,,,7,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W5D4MA60/12,686,variation,PA1W5D4MA60/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1715,,,,,,,id:246,,,,,,24,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W5D4MA60/15,704,variation,PA1W5D4MA60/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1965,,,,,,,id:246,,,,,,42,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W5D4MA60/18,722,variation,PA1W5D4MA60/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2365,,,,,,,id:246,,,,,,60,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W5D4MA60/22,740,variation,PA1W5D4MA60/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2665,,,,,,,id:246,,,,,,6,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D2MA58/12,694,variation,PA1W6D2MA58/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1968,,,,,,,id:246,,,,,,32,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D2MA58/15,712,variation,PA1W6D2MA58/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2208,,,,,,,id:246,,,,,,50,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D2MA58/18,730,variation,PA1W6D2MA58/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2538,,,,,,,id:246,,,,,,68,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D2MA58/22,748,variation,PA1W6D2MA58/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2898,,,,,,,id:246,,,,,,14,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D3MA59/12,696,variation,PA1W6D3MA59/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2418,,,,,,,id:246,,,,,,34,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D3MA59/15,714,variation,PA1W6D3MA59/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2598,,,,,,,id:246,,,,,,52,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D3MA59/18,732,variation,PA1W6D3MA59/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3078,,,,,,,id:246,,,,,,70,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D3MA59/22,750,variation,PA1W6D3MA59/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3438,,,,,,,id:246,,,,,,16,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D4MA61/12,695,variation,PA1W6D4MA61/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2058,,,,,,,id:246,,,,,,33,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D4MA61/15,713,variation,PA1W6D4MA61/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2418,,,,,,,id:246,,,,,,51,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D4MA61/18,731,variation,PA1W6D4MA61/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2838,,,,,,,id:246,,,,,,69,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D4MA61/22,749,variation,PA1W6D4MA61/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3198,,,,,,,id:246,,,,,,15,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W5D2MA56/12,688,variation,PA2W5D2MA56/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3280,,,,,,,id:246,,,,,,26,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D2MA56/15,706,variation,PA2W5D2MA56/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3680,,,,,,,id:246,,,,,,44,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D2MA56/18,724,variation,PA2W5D2MA56/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4230,,,,,,,id:246,,,,,,62,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D2MA56/22,742,variation,PA2W5D2MA56/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4830,,,,,,,id:246,,,,,,8,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D3MA57/12,690,variation,PA2W5D3MA57/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4030,,,,,,,id:246,,,,,,28,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W5D3MA57/15,708,variation,PA2W5D3MA57/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4430,,,,,,,id:246,,,,,,46,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W5D3MA57/18,726,variation,PA2W5D3MA57/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5130,,,,,,,id:246,,,,,,64,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W5D3MA57/22,744,variation,PA2W5D3MA57/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5730,,,,,,,id:246,,,,,,10,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W5D4MA60/12,689,variation,PA2W5D4MA60/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3430,,,,,,,id:246,,,,,,27,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W5D4MA60/15,707,variation,PA2W5D4MA60/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4030,,,,,,,id:246,,,,,,45,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W5D4MA60/18,725,variation,PA2W5D4MA60/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4730,,,,,,,id:246,,,,,,63,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W5D4MA60/22,743,variation,PA2W5D4MA60/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5330,,,,,,,id:246,,,,,,9,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W6D2MA58/12,697,variation,PA2W6D2MA58/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3936,,,,,,,id:246,,,,,,35,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W6D2MA58/15,715,variation,PA2W6D2MA58/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4416,,,,,,,id:246,,,,,,53,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W6D2MA58/18,733,variation,PA2W6D2MA58/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5076,,,,,,,id:246,,,,,,71,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W6D2MA58/22,751,variation,PA2W6D2MA58/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5796,,,,,,,id:246,,,,,,17,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W6D3MA59/12,699,variation,PA2W6D3MA59/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4836,,,,,,,id:246,,,,,,37,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W6D3MA59/15,717,variation,PA2W6D3MA59/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5316,,,,,,,id:246,,,,,,55,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W6D3MA59/18,735,variation,PA2W6D3MA59/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6156,,,,,,,id:246,,,,,,1,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W6D3MA59/22,753,variation,PA2W6D3MA59/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6876,,,,,,,id:246,,,,,,19,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W6D4MA61/12,698,variation,PA2W6D4MA61/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4116,,,,,,,id:246,,,,,,36,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W6D4MA61/15,716,variation,PA2W6D4MA61/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4836,,,,,,,id:246,,,,,,54,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W6D4MA61/18,734,variation,PA2W6D4MA61/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5676,,,,,,,id:246,,,,,,72,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W6D4MA61/22,752,variation,PA2W6D4MA61/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6396,,,,,,,id:246,,,,,,18,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W5D2MA56/12,691,variation,PA3W5D2MA56/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4920,,,,,,,id:246,,,,,,29,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W5D2MA56/15,709,variation,PA3W5D2MA56/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5520,,,,,,,id:246,,,,,,47,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W5D2MA56/18,727,variation,PA3W5D2MA56/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6345,,,,,,,id:246,,,,,,65,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W5D2MA56/22,745,variation,PA3W5D2MA56/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7245,,,,,,,id:246,,,,,,11,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W5D3MA57/12,693,variation,PA3W5D3MA57/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6045,,,,,,,id:246,,,,,,31,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W5D3MA57/15,711,variation,PA3W5D3MA57/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6495,,,,,,,id:246,,,,,,49,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W5D3MA57/18,729,variation,PA3W5D3MA57/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7695,,,,,,,id:246,,,,,,67,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W5D3MA57/22,747,variation,PA3W5D3MA57/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,8595,,,,,,,id:246,,,,,,13,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W5D4MA60/12,692,variation,PA3W5D4MA60/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5670,,,,,,,id:246,,,,,,30,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W5D4MA60/15,710,variation,PA3W5D4MA60/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5895,,,,,,,id:246,,,,,,48,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W5D4MA60/18,728,variation,PA3W5D4MA60/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7095,,,,,,,id:246,,,,,,66,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W5D4MA60/22,746,variation,PA3W5D4MA60/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7995,,,,,,,id:246,,,,,,12,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D2MA58/12,700,variation,PA3W6D2MA58/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5904,,,,,,,id:246,,,,,,38,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D2MA58/15,718,variation,PA3W6D2MA58/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6624,,,,,,,id:246,,,,,,56,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D2MA58/18,736,variation,PA3W6D2MA58/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7614,,,,,,,id:246,,,,,,2,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D2MA58/22,754,variation,PA3W6D2MA58/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,8694,,,,,,,id:246,,,,,,20,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D3MA59/12,702,variation,PA3W6D3MA59/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7254,,,,,,,id:246,,,,,,40,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D3MA59/15,720,variation,PA3W6D3MA59/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7974,,,,,,,id:246,,,,,,58,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D3MA59/18,738,variation,PA3W6D3MA59/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,9234,,,,,,,id:246,,,,,,4,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D3MA59/22,756,variation,PA3W6D3MA59/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,10314,,,,,,,id:246,,,,,,22,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D4MA61/12,701,variation,PA3W6D4MA61/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6174,,,,,,,id:246,,,,,,39,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D4MA61/15,719,variation,PA3W6D4MA61/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7254,,,,,,,id:246,,,,,,57,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D4MA61/18,737,variation,PA3W6D4MA61/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,8514,,,,,,,id:246,,,,,,3,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D4MA61/22,755,variation,PA3W6D4MA61/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,9594,,,,,,,id:246,,,,,,21,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,